color,line,org,org_lat,org_lon,dst,dst_lat,dst_lon,dist
#FF7E2E,5,Porte de Pantin,48.888583981,2.3924228757,Ourcq,48.886923877,2.3866564344,0.2867192196
#FF7E2E,5,Ourcq,48.886923877,2.3866564344,Laumière,48.884931611,2.3790912469,0.3712210144
#FF7E2E,5,Laumière,48.884931611,2.3790912469,Jaurès,48.882876216,2.3705863362,0.4127930289
#FF7E2E,5,Jaurès,48.882876216,2.3705863362,Stalingrad,48.884153263,2.3673574775,0.1715802975
#FF7E2E,5,Stalingrad,48.884153263,2.3673574775,Gare du Nord,48.879383303,2.3563720814,0.5994124795
#FF7E2E,5,Gare du Nord,48.879383303,2.3563720814,Gare de l'Est (Verdun),48.876812625,2.3582514401,0.1972101129
#FF7E2E,5,Gare de l'Est (Verdun),48.876812625,2.3582514401,Jacques-Bonsergent,48.870700823,2.3605786356,0.4354497262
#FF7E2E,5,Jacques-Bonsergent,48.870700823,2.3605786356,République,48.867617487,2.3638195214,0.2592717698
#FF7E2E,5,République,48.867617487,2.3638195214,Oberkampf,48.864902416,2.3675370135,0.2528253188
#FF7E2E,5,Oberkampf,48.864902416,2.3675370135,Richard-Lenoir,48.860488413,2.3719204375,0.3646520356
#FF7E2E,5,Richard-Lenoir,48.860488413,2.3719204375,Bréguet-Sabin,48.856803949,2.3705968196,0.2616545955
#FF7E2E,5,Bréguet-Sabin,48.856803949,2.3705968196,Bastille,48.853389112,2.3691646022,0.2448384372
#FF7E2E,5,Bastille,48.853389112,2.3691646022,Quai de la Rapée,48.845966032,2.3669131797,0.5231149874
#FF7E2E,5,Quai de la Rapée,48.845966032,2.3669131797,Gare d'Austerlitz,48.843414224,2.3641883929,0.2157230219
#FF7E2E,5,Gare d'Austerlitz,48.843414224,2.3641883929,Saint-Marcel,48.838516744,2.3607275504,0.3734236619
#FF7E2E,5,Saint-Marcel,48.838516744,2.3607275504,Campo-Formio,48.835551217,2.3587520952,0.2238569061
#FF7E2E,5,Campo-Formio,48.835551217,2.3587520952,Place d'Italie,48.831282656,2.3554558704,0.3310768062
#6ECA97,6,Nation,48.847455262,2.3977717436,Picpus,48.845323115,2.4017863138,0.2350087217
#6ECA97,6,Picpus,48.845323115,2.4017863138,Bel-Air,48.841432007,2.4008691934,0.2721122698
#6ECA97,6,Bel-Air,48.841432007,2.4008691934,Daumesnil (Félix Eboué),48.839376463,2.3957880604,0.2718234786
#6ECA97,6,Daumesnil (Félix Eboué),48.839376463,2.3957880604,Dugommier,48.838876152,2.3893473876,0.2958062316
