org,org_lat,org_lon,dst,dst_lat,dst_lon,color,line,dist
Simplon,48.894042555,2.3473135786,Marcadet-Poissonniers,48.891543931,2.3493711154,#CF009E,4,0.1964685926
Marcadet-Poissonniers,48.891543931,2.3493711154,Château Rouge,48.887086283,2.3493700733,#CF009E,4,0.3080287767
Château Rouge,48.887086283,2.3493700733,Barbès-Rochechouart,48.88393177,2.3493557086,#CF009E,4,0.2179814631
Barbès-Rochechouart,48.88393177,2.3493557086,Gare du Nord,48.879743064,2.3546008105,#CF009E,4,0.3753917274
Gare du Nord,48.879743064,2.3546008105,Gare de l'Est (Verdun),48.876695836,2.3579925106,#CF009E,4,0.2612183312
Gare de l'Est (Verdun),48.876695836,2.3579925106,Château d'Eau,48.872454151,2.3560561681,#CF009E,4,0.3061049912
Château d'Eau,48.872454151,2.3560561681,Strasbourg-Saint-Denis,48.869632365,2.3545020631,#CF009E,4,0.2074585142
Strasbourg-Saint-Denis,48.869632365,2.3545020631,Réaumur-Sébastopol,48.86604667,2.352620954,#CF009E,4,0.262194938
Réaumur-Sébastopol,48.86604667,2.352620954,Etienne Marcel,48.863710366,2.3489831961,#CF009E,4,0.2314463718
Etienne Marcel,48.863710366,2.3489831961,Les Halles,48.862011971,2.3464764519,#CF009E,4,0.1638135648
Les Halles,48.862011971,2.3464764519,Châtelet,48.858300056,2.3478650876,#CF009E,4,0.2641950349
Châtelet,48.858300056,2.3478650876,Cité,48.85568485,2.3462029295,#CF009E,4,0.1959620549
Cité,48.85568485,2.3462029295,Saint-Michel,48.853599908,2.3439962411,#CF009E,4,0.1757311608
Saint-Michel,48.853599908,2.3439962411,Odéon,48.852198045,2.338780003,#CF009E,4,0.2568322599
Odéon,48.852198045,2.338780003,Saint-Germain des Prés,48.853447238,2.333046326,#CF009E,4,0.27534017
Saint-Germain des Prés,48.853447238,2.333046326,Saint-Sulpice,48.851146355,2.3309628564,#CF009E,4,0.1852169398
Saint-Sulpice,48.851146355,2.3309628564,Saint-Placide,48.84701184,2.3270551114,#CF009E,4,0.3367220758
Saint-Placide,48.84701184,2.3270551114,Montparnasse-Bienvenue,48.844189509,2.3244412324,#CF009E,4,0.2285742568
Montparnasse-Bienvenue,48.844189509,2.3244412324,Vavin,48.842059858,2.3288670504,#CF009E,4,0.2498064636
Vavin,48.842059858,2.3288670504,Raspail,48.839156981,2.3304741512,#CF009E,4,0.2135645848
Raspail,48.839156981,2.3304741512,Denfert-Rochereau,48.834276813,2.3322037973,#CF009E,4,0.3463291541
Denfert-Rochereau,48.834276813,2.3322037973,Mouton-Duvernet,48.832191599,2.3304069926,#CF009E,4,0.1657721283
Mouton-Duvernet,48.832191599,2.3304069926,Alésia,48.82806602,2.3268274201,#CF009E,4,0.3285403223
Alésia,48.82806602,2.3268274201,Porte d'Orléans (Général Leclerc),48.82281706,2.3250726251,#CF009E,4,0.371436817
Porte d'Orléans (Général Leclerc),48.82281706,2.3250726251,Mairie de Montrouge,48.818466337,2.3196432186,#CF009E,4,0.3895625927
Bobigny-Pablo-Picasso,48.907147313,2.4494575045,Bobigny-Pantin (Raymond Queneau),48.895799233,2.4248572984,#FF7E2E,5,1.3678023719
Bobigny-Pantin (Raymond Queneau),48.895799233,2.4248572984,Eglise de Pantin,48.893632528,2.412900266,#FF7E2E,5,0.5649925815
Eglise de Pantin,48.893632528,2.412900266,Hoche,48.891499384,2.4031249607,#FF7E2E,5,0.4691645634
Hoche,48.891499384,2.4031249607,Porte de Pantin,48.888583981,2.3924228757,#FF7E2E,5,0.5276341541
Porte de Pantin,48.888583981,2.3924228757,Ourcq,48.886923877,2.3866564344,#FF7E2E,5,0.2867192196
Ourcq,48.886923877,2.3866564344,Laumière,48.884931611,2.3790912469,#FF7E2E,5,0.3712210144
Laumière,48.884931611,2.3790912469,Jaurès,48.882876216,2.3705863362,#FF7E2E,5,0.4127930289
Jaurès,48.882876216,2.3705863362,Stalingrad,48.884153263,2.3673574775,#FF7E2E,5,0.1715802975
Stalingrad,48.884153263,2.3673574775,Gare du Nord,48.879383303,2.3563720814,#FF7E2E,5,0.5994124795
Gare du Nord,48.879383303,2.3563720814,Gare de l'Est (Verdun),48.876812625,2.3582514401,#FF7E2E,5,0.1972101129
Gare de l'Est (Verdun),48.876812625,2.3582514401,Jacques-Bonsergent,48.870700823,2.3605786356,#FF7E2E,5,0.4354497262
Jacques-Bonsergent,48.870700823,2.3605786356,République,48.867617487,2.3638195214,#FF7E2E,5,0.2592717698
République,48.867617487,2.3638195214,Oberkampf,48.864902416,2.3675370135,#FF7E2E,5,0.2528253188
Oberkampf,48.864902416,2.3675370135,Richard-Lenoir,48.860488413,2.3719204375,#FF7E2E,5,0.3646520356
Richard-Lenoir,48.860488413,2.3719204375,Bréguet-Sabin,48.856803949,2.3705968196,#FF7E2E,5,0.2616545955
Bréguet-Sabin,48.856803949,2.3705968196,Bastille,48.853389112,2.3691646022,#FF7E2E,5,0.2448384372
Bastille,48.853389112,2.3691646022,Quai de la Rapée,48.845966032,2.3669131797,#FF7E2E,5,0.5231149874
Quai de la Rapée,48.845966032,2.3669131797,Gare d'Austerlitz,48.843414224,2.3641883929,#FF7E2E,5,0.2157230219
Gare d'Austerlitz,48.843414224,2.3641883929,Saint-Marcel,48.838516744,2.3607275504,#FF7E2E,5,0.3734236619
Saint-Marcel,48.838516744,2.3607275504,Campo-Formio,48.835551217,2.3587520952,#FF7E2E,5,0.2238569061
Campo-Formio,48.835551217,2.3587520952,Place d'Italie,48.831282656,2.3554558704,#FF7E2E,5,0.3310768062
Nation,48.847455262,2.3977717436,Picpus,48.845323115,2.4017863138,#6ECA97,6,0.2350087217
Picpus,48.845323115,2.4017863138,Bel-Air,48.841432007,2.4008691934,#6ECA97,6,0.2721122698
Bel-Air,48.841432007,2.4008691934,Daumesnil (Félix Eboué),48.839376463,2.3957880604,#6ECA97,6,0.2718234786
Daumesnil (Félix Eboué),48.839376463,2.3957880604,Dugommier,48.838876152,2.3893473876,#6ECA97,6,0.2958062316
Dugommier,48.838876152,2.3893473876,Bercy,48.840192244,2.3794772573,#6ECA97,6,0.4592970931
Bercy,48.840192244,2.3794772573,Quai de la Gare,48.837614676,2.3738521157,#6ECA97,6,0.3123422015
Quai de la Gare,48.837614676,2.3738521157,Chevaleret,48.834964971,2.3680913459,#6ECA97,6,0.3202783677
Chevaleret,48.834964971,2.3680913459,Nationale,48.832881289,2.361909408,#6ECA97,6,0.3166369178
Nationale,48.832881289,2.361909408,Place d'Italie,48.831111838,2.3557961457,#6ECA97,6,0.3045101571
Place d'Italie,48.831111838,2.3557961457,Corvisart,48.829863252,2.3506227279,#6ECA97,6,0.2512916894
Corvisart,48.829863252,2.3506227279,Glacière,48.831247952,2.3431220758,#6ECA97,6,0.355312261
Glacière,48.831247952,2.3431220758,Saint-Jacques,48.832991692,2.3366828966,#6ECA97,6,0.317503999
Saint-Jacques,48.832991692,2.3366828966,Denfert-Rochereau,48.833998237,2.3332385012,#6ECA97,6,0.1718328588
Denfert-Rochereau,48.833998237,2.3332385012,Raspail,48.838878379,2.3306784193,#6ECA97,6,0.3568685095
Raspail,48.838878379,2.3306784193,Edgar-Quinet,48.840567726,2.3264028152,#6ECA97,6,0.227289068
Edgar-Quinet,48.840567726,2.3264028152,Montparnasse-Bienvenue,48.841870336,2.321228374,#6ECA97,6,0.2525943094
Montparnasse-Bienvenue,48.841870336,2.321228374,Pasteur,48.842012804,2.3132900438,#6ECA97,6,0.3622053315
Pasteur,48.842012804,2.3132900438,Sèvres-Lecourbe,48.844996151,2.31086483,#6ECA97,6,0.2339514796
Sèvres-Lecourbe,48.844996151,2.31086483,Cambronne,48.847699108,2.3020391437,#6ECA97,6,0.4437328477
Cambronne,48.847699108,2.3020391437,La Motte-Picquet-Grenelle,48.849018928,2.2977621607,#6ECA97,6,0.2153189686
La Motte-Picquet-Grenelle,48.849018928,2.2977621607,Dupleix,48.850392578,2.2936483362,#6ECA97,6,0.210250769
Dupleix,48.850392578,2.2936483362,Bir-Hakeim (Grenelle),48.854327219,2.2888101037,#6ECA97,6,0.3501418357
Bir-Hakeim (Grenelle),48.854327219,2.2888101037,Passy,48.857534383,2.2855927058,#6ECA97,6,0.2657764289
Passy,48.857534383,2.2855927058,Trocadéro,48.862666906,2.2872630616,#6ECA97,6,0.362746465
Trocadéro,48.862666906,2.2872630616,Boissière,48.866856155,2.2900380734,#6ECA97,6,0.3159185444
